username,name,bio,category,score,matching_tweet,tweet_url,followers,website,reason,last_tweet_at
basecrypbase,,,Builder/developer,50,"A blockade in the Strait of Hormuz. Markets panic. Can you trust one AI to decide what happens to your portfolio?

Meet GeoShield — an autonomous portfolio protection agent built on @GenLayer.",https://x.com/BaseCrypbase/status/2094578014205964675,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
bimex_777,,,Builder/developer,50,"$CVXV666 is not a random AI copycat.

The token was launched by the community, but @antpalkin — the developer behind the public Grok-powered AI trading agent — has directly acknowledged it.

His public agent started with $1,000 and",https://x.com/bimex_777/status/2093409746850357294,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
binalyst_app,,,Builder/developer,50,"Have you tried the automated ai trading agent on @BNBCHAIN ?

Binalyst integrate the automated trading agent into the platform and we are competing with other agents 

Connect wallet - mainnet - register agent - create and phase strategy - start agent . @BNBDEVELOPER",https://x.com/Binalyst_app/status/2069298463964012724,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
bitmantw,,,Builder/developer,50,"Agent OS on Base have already run to millions.

Now @AgentOS_RH is building the same kind of AI agent infrastructure on Robinhood Chain, right as Vlad is pushing agentic finance as the future of trading.

It gives agents everything they need to operate:

• Persistent memory
•",https://x.com/BitmanTW/status/2094695242331193662,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
bobbxu,,,Builder/developer,50,"Would love to integrate outcomes with our AI finance agent @questflow to enable more trading scenarios.

Already a HL builder.",https://x.com/Bobbxu/status/2093656859622396113,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
brianfurryan,,,Builder/developer,50,"just built Allele — a self-evolving genetic algorithm trading agent for tokenized stocks on Robinhood Chain

it doesn't just trade. it evolves.

3 strategies compete in real-time. the best ones survive. the weak ones mutate or die.

natural selection, but for your portfolio.",https://x.com/brianfurryan/status/2082786725546319973,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
bruzwj,,,Builder/developer,50,"they said ""build in public""

so I did: TradingGoose-Studio crossed 100+ stars.

Behind every update sit real security tradeoffs and observability I have to keep alive across modular agent workflows.

I'm still building the AI trading system I wanted for myself first",https://x.com/BruzWJ/status/2083964292785930311,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
callmeperry3,,,Builder/developer,50,"𝐀 𝐠𝐨𝐨𝐝 𝐭𝐫𝐚𝐝𝐢𝐧𝐠 𝐬𝐭𝐫𝐚𝐭𝐞𝐠𝐲 𝐬𝐡𝐨𝐮𝐥𝐝 𝐧𝐨𝐭 𝐥𝐞𝐚𝐯𝐞 𝐢𝐦𝐩𝐨𝐫𝐭𝐚𝐧𝐭 𝐝𝐞𝐜𝐢𝐬𝐢𝐨𝐧𝐬 𝐭𝐨 𝐠𝐮𝐞𝐬𝐬𝐰𝐨𝐫𝐤.

Whether you’re trading manually, building an automated system, or creating an AI trading agent, the quality of your strategy starts with how",https://x.com/callmeperry3/status/2089720896776712300,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
chubsters0x,,,Builder/developer,50,"I just found something insane. The PONS founder @MEADGod has been working on an AI trading agent called NUMI built for PONS and Robinhood on his github: https://github.com/numi-ai/numi-trading-agent…

If you check the NUMI github repository, you can see he has been committing to it for a while and also",https://x.com/Chubsters0x/status/2081177836644364379,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
coin0va,,,Builder/developer,50,"The question that got me into this hackathon was this simple. I've been explaining agentic trading to people for months. Do I actually know how to use it myself?

I'm joining Bitget Builder Base Camp Hackathon S1 to find out.

I've spent meaningful time inside Bitget's AI",https://x.com/coin0va/status/2065218219258835346,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
crypto_ai_says,,,Builder/developer,50,"A dev open-sourced a multi-agent LLM trading framework with Chinese market data pipelines and walked away.

Full repo. Agents, backtests, configs, data flows. All public on GitHub.

No paywall. No token launch. No Discord alpha group.

Most people pay $2,000 a month for signal",https://x.com/crypto_ai_says/status/2092158624407716140,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
crypto_vazima,,,Builder/developer,50,"8 fresh Web3 Internships & Junior Roles found today (Aug 1, 2026):

 Builders Summit 2026 Participant — Builders Hub — Delhi NCR | Free · One-day Event · AI · Agentic AI · MCP · Cloud · Cybersecurity · Data Science · Web3 | https://t.me/crypto_vazima_english/4484…

 Junior Business",https://x.com/crypto_vazima/status/2083636157418541538,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
cryptoexpert101,,,Builder/developer,50,"@MEADGod check when you get a chance and confirm

The PONS founder @MEADGod has been working on an AI trading agent called NUMI built for PONS and Robinhood on his github: 
https://github.com/numi-ai/numi-trading-agent…

If you check the NUMI github repository, you can see he has been committing to",https://x.com/CryptoExpert101/status/2081183643305721917,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
cryptoluche_,,,Builder/developer,50,"Fletch / $FLTCH isn’t just building crypto cards for AI agents.
It’s connecting payments, routing, MCP and Rh Chain yield into a financial operating layer where each product strengthens the next.

Here’s why the architecture is worth watching.
@FletchPayRH",https://x.com/CryptoLuche_/status/2094889653031567483,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
darthfib,,,Builder/developer,50,"Did we just find one of the most undervalued projects currently on RH?

$Logos Layer is a formal verification and guardrail framework built for AI-driven crypto and financial trading agents. Instead of relying purely on natural language prompts or probabilistic guardrails to keep",https://x.com/DarthFib/status/2094247356606693761,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
degen_jess,,,Builder/developer,50,"I just found something insane. The PONS founder
@MEADGod
has been working on an AI trading agent called NUMI built for PONS and Robinhood on his github:
https://github.com/numi-ai/numi-trading-agent…
If you check the NUMI github repository, you can see he has been committing to it for a while.

In the",https://x.com/DEGEN_JESS/status/2094007293474164813,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
divaagurlxw,,,Builder/developer,50,"10 GitHub repos so good they shouldn't be free.  

1. AutoHedge  An autonomous hedge fund built in Python with four AI agents: a director generates investment theses, a quant validates them, a risk manager decides position size, and an execution agent places orders. Operates live",https://x.com/divaagurlxw/status/2084706320767471872,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
divyansht91162,,,Builder/developer,50,"10 AI Trading GitHub Repos You Should Have on Your Radar

AI is moving into trading — from LLM-powered analysts to reinforcement learning and automated quant research.

If you're interested in AI + finance, these 10 open-source repos are worth exploring.

1. TradingAgents
A",https://x.com/DivyanshT91162/status/2093456774875791460,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
divyyanshishrma,,,Builder/developer,50,"10 GitHub repos so good they shouldn't be free.  

1. AutoHedge  An autonomous hedge fund built in Python with four AI agents: a director generates investment theses, a quant validates them, a risk manager decides position size, and an execution agent places orders. Operates live",https://x.com/Divyyanshishrma/status/2082788376747622494,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
dv_sol1,,,Builder/developer,50,"A few days ago, I wrote about building an AI trading agent.

At the time, I thought I was writing about only markets.

After reading Moss’s article on the World Cup Prediction Agent, I realized I was furthering my writing about decision-making.

One line stood out to me:

“A read",https://x.com/Dv_sol1/status/2070166184167620897,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
eminweb3,,,Builder/developer,50,"Artificial intelligence is changing how we create, analyze, and interact with information.

Blockchain is changing how we store, verify, and execute it.

But neither technology reaches its full potential on its own.

AI can generate insights, yet it still depends on reliable",https://x.com/Eminweb3/status/2071261484718461310,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
freecodecamp,,,Builder/developer,50,"Building an AI trading agent that produces trustworthy research isn't easy.

In this handbook, Nikhil shows you how to build a multi-agent trading research system with LangChain Deep Agents.

You'll learn how to separate agent reasoning from backtesting, enforce reproducible",https://x.com/freeCodeCamp/status/2089502798501040301,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
freemoneygl,,,Builder/developer,50,"Building an automated portfolio rebalancing loop on @base using AgentKit and Base DeFi rails

Managing multi asset portfolios manually becomes inefficient as market prices fluctuate. By combining balance checks, price feeds, and swap actions into a single loop, your agent can",https://x.com/FreeMoneyGL/status/2087867516064350434,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
gamingraha29619,,,Builder/developer,50,"Discover @ama_protocol, the confidential uPoW Layer 1 built for agentic finance. Private by default with TEEs, deterministic execution, and useful Proof of Work powering real AI compute. Deploy autonomous trading agents on AMA Hub, secure, verifiable and chain agnostic.",https://x.com/GamingRaha29619/status/2094816008787910917,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
hagocommunity,,,Builder/developer,50,"AI Quant Trader: A Practical Guide to Building an Intelligent Trading System

Introduction
The idea behind AI Quant Trader is to build an intelligent software system that can monitor financial markets, analyze data, identify opportunities based on predefined quantitative",https://x.com/HAGOCommunity/status/2089125070660575690,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
heisblesse,,,Builder/developer,50,"AI trading agents shouldn't be judged by hype. They should be tested.

That’s what #AINFT is building.

AINFT’s AI Trading Agent Benchmark puts autonomous trading agents through reproducible BTC & ETH paper-market environments with:

 Locked rules — the conditions are defined,",https://x.com/heisblesse/status/2088848972458639714,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
immt_io,,,Builder/developer,50,"Building an autonomous trader is about recognising changing market conditions, adapt, and improve over time.  

We're training IMMT AI on NASDAQ market data so every session makes the models smarter, more disciplined, and more resilient.   #IMMT #NASDAQ #AI",https://x.com/IMMT_io/status/2073919578283872328,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
imperiumrh,,,Builder/developer,50,"The AI gap on @RobinhoodCrypto is real.

That’s the layer IMPERIUM is building for:

Autonomous trading agents.
Model benchmarking.
Uniswap v4-native execution.
Machine-readable market intelligence.

The assets are already onchain.
Now the agents are coming.",https://x.com/ImperiumRH/status/2094802711208223131,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
injectivenow,,,Builder/developer,50,"Injective is making it easier for developers to build AI-powered trading applications with its MCP Server.

Instead of building complex trading infrastructure from scratch, developers can give an AI agent a simple instruction and let the MCP Server handle the onchain execution.",https://x.com/InjectiveNow/status/2089705796494033258,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
jamie_within,,,Builder/developer,50,"I set up a teaching skill in the repo that holds my crypto trading agent. I wanted to learn how my own system works. I've built the thing and can't fully explain it.

What came back was a wall of text about perpetual futures.

I lost the will to live in the second sentence.",https://x.com/Jamie_within/status/2092602974526656954,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
jaydeezy1413,,,Builder/developer,50,"$SEAL is the clearest expression of what OMO is trying to build.

An autonomous trader that earns, compounds, redirects capital and builds conviction on-chain instead of just posting about it.

OMO is building the flywheel. $SEAL is where it’s spinning.",https://x.com/JayDeezy1413/status/2089717752978116975,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
jebsuey,,,Builder/developer,50,"$GT APsZ9cXdHXkj1dfuG622X5xeCMJapJ7LBPuLKvi8pump

An AI trading bot that turned an initial $50 stake into $2,847 has autonomously launched a self-funding micro-hedge fund by investing $250 of its profits into five specialized clone workers, retiring itself to a management role https://x.com/slash1sol/stat/slash1sol/status/2093774998368383237…",https://x.com/jebsuey/status/2093925979337159129,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
jobiraw0,,,Builder/developer,50,"Questions that I have for @binance

1, Security & liability 
“If an AI agent hallucinates a signal or gets hit by a sophisticated prompt injection, does Binance treat the resulting trades any differently from a normal user order or is the entire risk (and any market impact)",https://x.com/jobiraw0/status/2091120281309806813,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
josiahz2014,,,Builder/developer,50,"Built an AI Crypto Research & Risk Agent with Binance Agent OS + Binance MCP
Most AI trading assistants ask: “What should I buy?”
Mine asks: “Is this market worth trading?”
Risk Score ≠ Trade Readiness
Research first.Quantify risk.Measure readiness.Don’t force a trade.
@binance",https://x.com/JosiahZ2014/status/2095135417657852210,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
jus7degen,,,Builder/developer,50,"$CAI

Okay.

This one is fucking interesting.

CharacterX is building around:

AI Agents × Autonomous Trading × AI Infrastructure × BNB Chain

The idea?

AI agents that can analyze markets, make decisions and execute onchain autonomously.

And the token is tiny.

100M max supply.",https://x.com/Jus7Degen/status/2095072641568932330,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
khing_ladipoe,,,Builder/developer,50,"Most people see $NVDA and think “AI stock.”

I see the engine powering the next era of intelligence.

So I decided to do more than watch from the sidelines.

I built an AI trading agent on @MossAI_Official focused on $NVDA, combining memory + semi capabilities to track",https://x.com/khing_ladipoe/status/2079813640396370102,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
korryzeel92826,,,Builder/developer,50,"@ama_protocol  The newly launched flagship product, AMA Hub, now offers one-click agent deployment, chain-agnostic routing, and cross-chain discovery. also, an integration panel that allows third-party platforms to plug AI trading logic directly into their existing apps",https://x.com/korryzeel92826/status/2093414793918955697,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
leaf_swan,,,Builder/developer,50,"GM to all jokers! The QUANT Agent is built to do what most of us are terrible at! This ""brain"" will stay disciplined while the crypto market is doing everything possible to make us panic.

The @mememaxxers AI wi tracks daily on-chain volume and momentum and looks for early",https://x.com/leaf_swan/status/2087794413883797887,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
manhducx,,,Builder/developer,50,"“AI trading agent” is becoming a commodity.

Provable trading history isn’t.

AMA Hub is building around verified strategies rather than self-reported performance.

That distinction could matter when agents start managing real capital.

@ama_protocol",https://x.com/manhducx/status/2094986266492412191,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
marketcallshq,,,Builder/developer,50,"We’ve built an AI Trading Agent for OpenAlgo that can talk to 35+ brokers, interact with OpenAlgo Charts, add indicators, generate visualizations, and more.

Currently, it runs as a separate open-source application.

I’m considering bringing it directly inside OpenAlgo so",https://x.com/marketcallsHQ/status/2095029806807261226,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
moon_or_doom,,,Builder/developer,50,"Binance Opened the Gate. You Still Need Your Own Agent.

Binance shipped Agent OS this week, a standardized layer that lets any AI application reach trading, wallets, payments, and onchain infrastructure directly. The headline says AI agents are now legal actors on a real",https://x.com/moon_or_doom/status/2090998912278815160,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
muhammad1039462,,,Builder/developer,50,"Track A Submission  Binance Agent OS Mini Hackathon

Project: Shadow Agent 

Watch first. Trade later

An AI trading agent that has to earn your trust before it earns your capital.

No faith.
No hope.
Only evidence.

Built on Binance Agent OS.

@Binance

#BinanceAgentOS #AgentOS",https://x.com/Muhammad1039462/status/2094958865997586660,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
official_bles1,,,Builder/developer,50,"AI agents are no longer only tools that answer questions or follow instructions. They’re becoming real economic actors.

And if you’re wondering what that actually looks like in crypto and finance, let me show you what @injective is building.

Imagine an AI agent that can:",https://x.com/official_bles1/status/2094414225565262268,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
oloberin,,,Builder/developer,50,"4/ Base is building for agents.

Base is also developing agent native wallets, spending controls and Base MCP.

This means an AI agent can interact with Base and perform actions like trading, swapping and lending.

The wallet becomes a tool for the agent not just a place for",https://x.com/Oloberin/status/2095095994501505338,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
onchain_hoe,,,Builder/developer,50,"This here is super undervalued . An AI-assisted, risk-disciplined trading suite for Robinhood Chain built by ozzy  
tokenized stocks and launchpad memecoins.

He has been shipping for weeks as u can see in the git

Link : https://github.com/numi-ai/numi-trading-agent…

Ca",https://x.com/Onchain_hoe/status/2093652750143782930,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
pipstune,,,Builder/developer,50,"The PONS founder @MEADGod has been working on an AI trading agent called NUMI built for PONS and Robinhood on his github: https://github.com/numi-ai/numi-trading-agent…

What is NUMI?
It is An AI-assisted, risk-disciplined trading suite for Robinhood Chain —
tokenized stocks and launchpad memecoins,",https://x.com/Pipstune/status/2094095096258207776,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
quantaraai3,,,Builder/developer,50,"Excited to officially introduce Quantara!

Quantara = Quant + Aura An AI-Powered Multi-Exchange Quant OS built for serious traders and researchers.

 Comprehensive Factor Library 
 High-performance Backtesting Engine 
 Intelligent Multi-Agent Framework 
 Seamless live",https://x.com/QuantaraAI3/status/2066799144174534920,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
rich79_capital,,,Builder/developer,50,"Micro-Second AI API: https://B.AI launches high-speed API endpoints for developers!

 Seamless Integration:
→ Web3 apps query decentralized AI models via standard REST and WebSocket APIs
→ Sub-second response times support real-time chatbot and trading agent",https://x.com/Rich79_Capital/status/2093704600067166279,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
ritonchain,,,Builder/developer,50,"the university of tokyo just dropped a brutal audit tool for llm trading bots..

everyone is building ai agents that trade stocks and crypto.. they show you a nice upward equity curve..

but they hide the ""intelligence tax"".. 

every time the agent ""thinks"", ""reads news"", or",https://x.com/RitOnchain/status/2088872615083749628,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
robinhubhb,,,Builder/developer,50,"Robinhood Chain generated $3.1B in DEX volume in its first week, outperforming major chains that have been fighting for liquidity for years.

here's everything that happened this week:

News

- The Protocol TVL jumped from $90M to $300M+, with @Morpho leading at $119M.

- Active",https://x.com/RobinHubHB/status/2076733687543288007,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
rocknrollareal1,,,Builder/developer,50,"LIST $ZCL ON @EventTraderBot 

$ZCL is a natural fit for Cymetica’s AI-first trading vision.

Cymetica is building infrastructure for AI agents to discover, analyze and trade assets through APIs, SDKs and automated trading.

Meanwhile, Zclassic is actively developing around",https://x.com/rocknrollareal1/status/2094915824968495372,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
scottallen_4232,,,Builder/developer,50,"The part that makes the idea potentially bigger than just “AI backtesting” is their emphasis on reproducibility and evidence. Their benchmark is open, they publish the methodology, and developers can connect their own agent to the evaluation harness.",https://x.com/scottallen_4232/status/2093361575218262186,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
singour_neeraj,,,Builder/developer,50,"Just watched the replay of the @arc x Canteen Agora Hackathon Builder Spotlight and the future of the agentic economy looks closer than ever.

Builders aren't just creating apps anymore they're creating AI agents that can trade, predict, research and settle markets autonomously.",https://x.com/singour_neeraj/status/2076541442890297837,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
smartmanwork,,,Builder/developer,50,"@ama_protocol  Building the future of autonomous trading with @ama_protocol  AI-powered agents can make market strategies smarter, faster, and more accessible. Excited to see how Amadeus keeps pushing on-chain automation forward. The agent economy is just getting started.",https://x.com/smartmanwork/status/2094784638527181215,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
smratitiwa86867,,,Builder/developer,50,"40 Truly Useful GitHub Repositories Every Developer Should Know

1. public-apis — Free API Collection
   https://github.com/public-apis/public-apis…

2. build-your-own-x — Learn by Doing
   https://github.com/codecrafters-io/build-your-own-x…

3. developer-roadmap — Learn Any Technology
   https://github.com/kamranahmedse/developer-roadmap…

4.",https://x.com/smratitiwa86867/status/2083777526095344099,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
timmycartel,,,Builder/developer,50,"I've spent years watching traders search for an edge in faster execution, more indicators, and increasingly complex strategies.

Today I tried something different.

I built an AI trading agent on @MossAI_Official using a single belief:

Markets tend to become irrational at",https://x.com/timmycartel/status/2067604281440571653,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
vasyl_hunia_8,,,Builder/developer,50,"1/3  BIG NEWS: @DonutAI is hiring co-builders!
D0 is the agentic trading agent for every market - watching, reasoning & executing 24/7 across spot, perps, DeFi & prediction markets.
They're looking for people who want to help shape what Donut becomes.",https://x.com/Vasyl_Hunia_8/status/2075561414438097380,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
vontariusf,,,Builder/developer,50,"https://Futarchists.xyz has evolved! 

I've entered @AlpacaHQ 's recent hackathon & launched a fully autonomous evolutionary laboratory for discovering options strategies.

This isn’t another AI trading bot asking an LLM what to buy.

Futarchists combines two engines of",https://x.com/VontariusF/status/2093497879071449440,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
xagent_official,,,Builder/developer,50,"The X-Agent AI MCP Hackathon 2026 begins September 2.

We’re inviting developers and teams worldwide to build live, verifiable Agent and MCP applications with real-world utility—across AI, crypto, data, automation, and agent infrastructure.

Choose your track:

 General",https://x.com/XAgent_official/status/2094634193334784501,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
